00000010000	1
00001000000	1
00010000000	2
00000100001	1
00001000100	2
00010000100	1
00010001000	1
00010010000	1
00100000100	2
00100001000	1
01000000010	1
01000000100	1
01000001000	3
01000010000	2
10000001000	2
10000010000	6
10000100000	1
10010000000	1
00001011000	1
00010010010	1
00101000010	1
01000001010	1
01000011000	1
10000010010	1
10000010100	3
10000110000	1
10001000100	1
10001001000	3
10010000010	2
10010010000	2
10100000001	1
10000011010	1
10000111000	1
11000100100	1
01000011110	1
10012000001	1
10100011001	1
11010010010	1
10100110101	1
