00000000	6607
10000000	506
01000000	1049
00100000	855
00010000	1499
00001000	937
00000100	1647
00000010	683
00000001	379
11000000	3
10100000	6
10010000	41
10001000	55
10000100	118
10000010	54
10000001	34
01100000	3
01010000	38
01001000	85
01000100	237
01000010	123
01000001	70
00110000	22
00101000	55
00100100	177
00100010	88
00100001	38
00011000	41
00010100	198
00010010	159
00010001	91
00001100	35
00001010	49
00001001	40
00000110	21
00000101	30
00000011	2
11100000	1
11000100	1
10101000	1
10011000	1
10010100	1
10010010	2
10010001	1
10001010	2
10001001	1
10000101	1
01100100	1
01010100	4
01010010	5
01010001	6
01001100	3
01001010	4
01001001	1
01000110	2
01000101	3
01000011	2
00110010	2
00110001	1
00101100	1
00101010	2
00101001	3
00100110	1
00100101	1
00011001	1
00010101	4
00010011	1
00001101	1
