0000000	943
1000000	471
0100000	283	
0010000	46
0001000	130
0000100	271
0000010	401
0000001	166
1100000	30
1010000	14
1001000	48
1000100	93
1000010	178
1000001	87
0110000	10
0101000	46
0100100	63
0100010	124
0100001	52
0011000	2
0010100	25
0010010	21
0010001	12
0001100	7
0001010	23
0001001	19
0000110	35
0000101	27
0000011	14
1110000	3
1101000	6
1100100	10
1100010	18
1100001	8
1011000	2
1010100	1
1010010	6
1010001	7
1001100	5
1001010	13
1001001	9
1000110	12
1000101	9
1000011	5
0111000	2
0110100	2
0110010	2
0101010	14
0101001	8
0100110	10
0100101	11
0011010	1
0010110	1
0010101	4
0001110	1
0001101	1
1110010	1
1101010	1
1100110	2
1100101	1
1011001	1
1010110	1
1010101	1
1010011	1
1001110	1
0110011	1
